,Country,ISO3,Specie,Breed/Most common name,Language,Description,Transboundary name,Other name,Provision Uses,Regulation and Maintenance Uses,Cultural Uses,Description Of Specific Uses,Production environment/management systems,Literature related to uses and ecosystem services,Additional information,Additional information comments,Efabis cultural role comment,Efabis cultural value,Adaptability to specific environment,Specific resistance or tolerance,Specific reproductive characteristic,Special characteristic of product,Other special qualities,Reference for special qualities,Efabis genetic features,Efabis environmental role,Efabis adaptability to marginal land,Body conformation,Coat description,Coat quality,Comb type,Skin colour,Shank and foot colour,Plumage colour,Pattern within feather,Avian classification,Color comments,Efabis main colour,Efabis skin colour,Number of horns males,Number of horns females,Horn shape size and comments,Wither height males,Wither height females,Weight males,Weight females,Breed classification (adaptedness),Herdbook,Herdbook established,Domestication status,Taxonomic classification,Description of origin,Year of origin,Import,Location within country,Eggs per year AVG,Eggs per year MIN,Eggs per year MAX,Egg weight,Wool or hair,Wool type,Fleece weight AVG,Fleece weight MIN,Fleece weight MAX,Fibre diam,Management system,Feeding of adults,Mobility,Milk per year AVG,Milk per year MIN,Milk per year MAX,Lactation length (day) AVG,Lactation length (day) MIN,Lactation length (day) MAX,Milk yield per lactation (kg) AVG,Milk yield per lactation (kg) MIN,Milk yield per lactation (kg) MAX,Milk fat AVG (%),Milk fat MIN (%),Milk fat MAX (%),Milk per day (kg),Number of lactations,Efabis milk protein AVG,Efabis milk protein MIN,Efabis milk protein MAX,Birth weight males,Birth weight females,Age maturity males,Age maturity females,Age breeding males,Age breeding females,Age first parturition (month) AVG,Age first parturition (month) MIN,Age first parturition (month) MAX,Parturition interval (day) AVG,Parturition interval (day) MIN,Parturition interval (day) MAX,Length productive life (years),Daily gain,Carcass weight (kg),Dressing percentage (%),Performance data reference,Managment conditions performance measured,Comments managment conditions,Additional performance parameters,Litter size AVG,Litter size MIN,Litter size MAX,Geographical classification,Local cryo conservation status,Local Risk,Detailed local risk status,Regional Transboundary Risk (detailed),International Transboundary Risk (detailed),Young per year AVG (number),Adult weight AVG (kg),Adult weight AVG (g),Birth weight AVG (kg),Birth weight AVG (g),Young mass per year AVG (kg),Young mass per year AVG (g)
3445,Czechia,CZE,Cattle,Aberdeen Angus,eng.,"Aberdeen Angus were first exported from Canada in 1992. In addition to the Angus being a naturally polled breed, the breed is also noted for its mothering, muscling and marbling attributes.",Aberdeen-Angus,,Meat,,,Beef cattle,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: black,black,black,0,0,,145.0,134.0,1050.0,700.0,Exotic,y,1996,Domestic,Breed,,,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,35.0,,,,,30.0,29.0,30.0,397.0,397.0,417.0,,1430.0,,61.0,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,875.0,875000.0,36.5,36500.0,,
3446,Czechia,CZE,Cattle,Ayrshire,eng.,,Ayrshire,,Milk,,,Dairy cattle,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: yellow-brown,,,2,2,,140.0,130.0,875.0,570.0,Exotic,y,,domestic,breed,imported; exotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Data source: performance recording of the Czech-Moravian Breeders Society (2013)  milk per lactation (305 d) 6445 kg, fat 4,04 % protein 3,34 %",,,,,,,international,No Material,atRisk,critical,,notAtRisk,,722.5,722500.0,,,,
3447,Czechia,CZE,Cattle,Belgicke modre,czech,,Belgian Blue,Belgické Modré,Meat,,,Beef cattle,,,,,,,,,, ,,,,,,,,,,,,,,,"uni coloured: blue, white <br>multi coloured: blue pied",,,2,2,,145.0,133.0,1100.0,700.0,Exotic,y,1996,domestic,breed,imported from Netherlands,1994,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,39.0,,,,,32.0,31.0,34.0,432.0,405.0,449.0,,1150.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,atRisk,critical,,notAtRisk,,900.0,900000.0,40.5,40500.0,,
3448,Czechia,CZE,Cattle,Brown Swiss,eng.,,Brown Swiss,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Exotic,n,,,,"imported after the year 2000, herdbook not yet approved",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,387.0,,,,,,,"Data source: performance recording of the Czech-Moravian Breeders Society (2013) milk per lactation (305 d) 7690 kg, fat 3,94 % protein 3,45 %",,,,,,,international,No Material,atRisk,endangered,,notAtRisk,,,,,,,
3449,Czechia,CZE,Cattle,Ceska Cervinka,czech,"""Česká červinka"" means red cattle located in the Czech Republic",Czech Red,"Bohemian Red, Czech Red, Česká Červinka","Meat, Milk",,,"Mostly suckler cows, limited number kept as dairy",,,"2003: The breed, especially for lack of breeding bulls, is classified as endangered.","2008: Except a herd kept at University farm for research and monitoring purposes (about 40 heads), kept in 10 small herds",2007: none,,The breed is well adapted to live under the natural conditions of Bohemia and Moravia.,"The animals are of heavy constitution, hardy and healthy",good fertility and mothering ability," 2007: used mostly as non-dairy (suckler cows), or else as subsistence dairy breed (milk, homemade butter, cheese)",The breed is known for its longevity.,,"marker/major genes: -alpha s1 casein B=0,964 C=0,036; -beta casein A=0,786 C=0,214; -kappa casein A=0,464 C=0,536; -Microsatelite IDVG A-Q H= 0,854; -Microsatelite CSSM 004 H= 0,582; (2001)",2007: used in extensive grazing systems within agri-environmental schemes,Adapted to extensive grazing systems in hilly/highland areas,,,,,,,,,,"uni coloured: red, darker head and legs, tint udder",red,,2,2,"Short, narrow horns, light colour sometimes with black tips, with a tendency to turn downwards in later age",148.0,133.0,800.0,520.0,Native,y,2007,Domestic,Breed,"Successor of ancient European red cattle of the Bos brachyceros origin, formerly spread over Bohemia and middle Europe: in the beginning of the 20th century improved by Bern and Simentals bulls, after 1945 stepwise eliminated. Since 1987 a rescue program for the last remaining herd has been started, using semen of closely related Polish Red.",,"1987-1994, Polish Red (Poland) semen, 1998-2000 Rotes Höhenvieh (Germany)- two sires","Middle and South of Bohemia, North-eastern Moravia",,,,,,,,,,,"back yard or farm yard production, extensive (non backyard)","concentrate, fodder, grazing",,,,,209.0,162.0,238.0,2204.0,1655.0,3508.0,4.23,4.2,4.35,,,3.7,3.54,3.74,26.0,31.0,,,16.5,18.0,29.9,27.0,35.1,370.0,350.0,405.0,10.0,900.0,,,0,extensive summer grazing in highland area,This breed is well adapted to be raised on pasture (as sucklers). Breeding stock must be raised at zero concentrates (forage only) otherwise gets fleshy with problems in limbs development.,"900g daily weight gain in suckler calves (2005) In 2011, during 150 days lactation the milk yield recorded in 5 cows between 680-1550 kg milk with 3,9% fat and 3,45% protein. Bulls fattened in common fattening unit by silage + concentrates reached 1250g/day.",1.0,,,local,Sufficient,atRisk,endangeredMaintained,,,0.9864864864864864,660.0,660000.0,28.5,28500.0,28.114864864864863,28114.864864864863
3450,Czechia,CZE,Cattle,Cesky strakaty - original type,cz,"A part of the Cesky strakaty skot, remaining since 1990 uninfluenced by genes of similar breeds used later for improvement i.e. Simmental, Montbéliarde etc.",,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Locally adapted,y,1925,domestic,strain,"A part of the Czech Red-Pied cattle, remaining since 1990 uninfluenced by genes of similar red-pied breeds, held in-situ as conservation herd",,,Institute of Animal Science (40 animals) and individual animals in 6 other farms,,,,,,,,,,,"back yard or farm yard production, extensive (non backyard), intensive","concentrate, grazing",stationary,,,,300.0,,,5858.0,4404.0,6855.0,4.3,4.23,4.54,,,3.57,3.53,3.74,,,,,,,,,,,,,,,,,,,,,1.0,,,local,Sufficient,atRisk,criticalMaintained,,,,,,,,,
3451,Czechia,CZE,Cattle,Cesky strakaty skot,czech,Red pied cattle of Simmental origin,Simmental,"Strakaty skot, Cervenostrakaty skot, Tschechische Fleckvieh, Simmental Cattle","Meat, Milk",,,"Dairy cattle, beef cattle",,,,Since 1955-1958 immigration of Ayrshire an Red Holstein genes has been realized for the improving of the milk production of the cows kept in large units. Nowadays European Fleckvieh genes are increasing.,,,,,This breed is known for reproductive qualities in general and the females for their good udder., ,This breed is known for its health and adaptability.,,,,,,,,,,,,,,uni coloured: red with white head <br>multi coloured: spotted,,,0/2,0/2,,156.0,141.0,1250.0,700.0,Locally adapted,y,1925,domestic,breed,"composite of Czech Red, local strains and Simmental, since mid-19th century since 1995, continuous and increasing inflow of Montbéliarde and Fleckvieh of different origin makes this breed a composite population better characterized by a name ""Red Pied cattle in Czech Republic"". The remaining very small residue of ""unimproved""animals not influenced by these foreign genes was in 2010 concentrated in the conservation nucleus bred separatedly under the name of ""Czech Red Pied - original type""",since mid 19th century,"since 1950 from Simmental (Austria, Germany)",country-wide,,,,,,,,,,,intensive,,stationary,9366.0,8882.0,9991.0,332.0,300.0,343.0,7297.0,7235.0,7317.0,4.05,4.05,4.06,,,3.55,3.54,3.56,,,,,,,25.0,24.0,27.0,392.0,390.0,403.0,,1082.0,,,0,Commercial herds,,,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,975.0,975000.0,,,,
3452,Czechia,CZE,Cattle,Charolais,fr.,,Charolais,,Meat,,,Beef cattle,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: blond,,,2,2,,145.0,140.0,1100.0,750.0,Exotic,y,1996,domestic,breed,imported from France,1993,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,41.0,,,,,36.0,34.0,37.0,427.0,421.0,429.0,,1460.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,925.0,925000.0,42.5,42500.0,,
3453,Czechia,CZE,Cattle,Galloway,eng.,,Galloway,,Meat,,,Beef cattle,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: black,,,0,0,,130.0,120.0,700.0,450.0,Exotic,y,1996,domestic,breed,imported from United Kingdom,1992,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,31.0,,,,,36.0,35.0,36.0,436.0,425.0,438.0,,,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,atRisk,endangered,,notAtRisk,,575.0,575000.0,32.0,32000.0,,
3454,Czechia,CZE,Cattle,Gasconne,fr.,,Gascon,,Meat,,,Beef cattle,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: grey,,,2,2,,145.0,135.0,1000.0,650.0,Exotic,y,1996,domestic,breed,imported from France,1994,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,35.0,,,,,36.0,36.0,37.0,428.0,395.0,435.0,,1296.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,atRisk,endangered,,notAtRisk,,825.0,825000.0,36.0,36000.0,,
3455,Czechia,CZE,Cattle,Hereford,eng.,,Hereford,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,multi coloured: red and white,,,0,0,,140.0,128.0,900.0,575.0,Exotic,y,1996,domestic,breed,imported from Canada,1975,1991-1994 from Hereford (USA),country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,36.0,,,,,35.0,34.0,36.0,414.0,408.0,436.0,,1324.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,atRisk,endangered,,notAtRisk,,737.5,737500.0,37.0,37000.0,,
3456,Czechia,CZE,Cattle,Holstynsky,czech,,Holstein (black and white),Holštýnské,Milk,,,Dairy cattle. This is the second most important breed with high milk yields.,,,,,,,,,, ,,,,,,,,,,,,,,,Black -spotted,,,2,2,,160.0,146.0,1100.0,675.0,Locally adapted,y,1874,Domestic,Breed,imported; locally adapted,,,,,,,,,,,,,,intensive,,stationary,12218.0,11484.0,13367.0,356.0,333.0,498.0,9504.0,8865.0,9875.0,3.78,3.73,3.83,,,3.3,3.3,3.35,,,,,,,25.0,24.0,26.0,414.0,393.0,458.0,5.0,,,,0,,,,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,887.5,887500.0,,,,
3457,Czechia,CZE,Cattle,Jersey,eng.,,Jersey,"Jerseyský skot, Jersiaise",Milk,,,Dairy cattle,,,,,,,A good adaptability to the local climate is reported for this breed.,,, ,,,,,,,,,,,,,,,uni coloured: yellow-brown,,,2,2,,127.0,120.0,750.0,350.0,,y,1866,Domestic,Breed,,,,,,,,,,,,,,,,,,,,,305.0,,,7171.0,,,4.72,,,23.5,,3.83,,,,,,,,,25.0,24.0,26.0,401.0,,,,,,,0,,,,,,,international,No Material,atRisk,endangered,,notAtRisk,,550.0,550000.0,,,,
3458,Czechia,CZE,Cattle,Limousin,fr.,,Limousin,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: red,,,2,2,,143.0,133.0,1000.0,630.0,Exotic,y,1996,domestic,breed,imported from France,1992,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,39.0,,,,,36.0,36.0,37.0,417.0,399.0,424.0,,1343.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,815.0,815000.0,40.5,40500.0,,
3459,Czechia,CZE,Cattle,Masny Simental,czech,,Simmental,"Beef Simmental, Masný Simentál",Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,multi coloured: red and white,,,2,2,,153.0,138.0,1100.0,700.0,Exotic,y,1996,domestic,breed,meat-type line of the Simmental cattle,1991,imported from Denmark,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,39.0,,,,,32.0,31.0,33.0,426.0,414.0,427.0,,1492.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,900.0,900000.0,40.5,40500.0,,
3460,Czechia,CZE,Cattle,Montbeliardsky,czech,,Montbéliarde,,Milk,,,Dairy cattle,,,,,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,,,,,Exotic,y,1998,domestic,breed,imported bulls and semen doses for improvement local red-pied cattle; exotic,since 1995,"France, Germany",country-vide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,391.0,,,,,,,"Data source: performance recording of the Czech-Moravian Breeders Society (2013) milk per lactation (305 d) 8290kg, fat 3,83 % protein 3,47 %",,,,,,,international,No Material,notAtRisk,notAtRisk,,notAtRisk,,,,,,,
3461,Czechia,CZE,Cattle,Normandský,czech,,Normande,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Exotic,y,2008,domestic,breed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,392.0,,,,,,,"Data source: performance recording of the Czech-Moravian Breeders Society (2013) milk per lactation (305 d) 6092kg, fat 4,07 % protein 3,63 %",,,,,,,international,No Material,atRisk,critical,,notAtRisk,,,,,,,
3462,Czechia,CZE,Cattle,Piemontese,it.,,Piedmont,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: grey,,,2,2,,135.0,125.0,850.0,550.0,Exotic,y,1996,domestic,breed,imported from Italy,1992,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,38.0,,,,,36.0,35.0,38.0,422.0,418.0,430.0,,1255.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,atRisk,endangered,,notAtRisk,,700.0,700000.0,40.0,40000.0,,
3463,Czechia,CZE,Cattle,Plave akvitanske,czech,,Blonde D’aquitaine,,Meat,,,Beef cattle,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: blonde,,,2,2,,150.0,140.0,1100.0,750.0,Exotic,y,1996,domestic,breed,imported from France,1992,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,39.0,,,,,36.0,35.0,36.0,437.0,426.0,449.0,,1321.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,atRisk,endangered,,notAtRisk,,925.0,925000.0,40.5,40500.0,,
3465,Czechia,CZE,Cattle,Salers,fr.,,Salers,,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: red,,,2,2,,145.0,135.0,1000.0,650.0,Exotic,y,1996,domestic,breed,imported from France,1995,,country-wide,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,35.0,,,,,35.0,35.0,36.0,416.0,387.0,464.0,,1265.0,,,0,,,!! indicators with zero are not monitored in our country !!,,,,international,No Material,atRisk,endangered,,notAtRisk,,825.0,825000.0,36.5,36500.0,,
3466,Czechia,CZE,Cattle,Skotsky nahorni,czech,,Highland,Highland Cattle,Meat,,,,,,,,,,,,, ,,,,,,,,,,,,,,,uni coloured: red,,,2,2,,130.0,122.0,750.0,500.0,Exotic,y,1996,domestic,breed,1992-1995 imported from United Kingdom,,,Sumava National Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,28.0,,,,,41.0,40.0,42.0,433.0,430.0,471.0,,,,,,,,,,,,international,No Material,atRisk,endangered,,notAtRisk,,625.0,625000.0,29.5,29500.0,,
3467,Czechia,CZE,Chicken,Ceska slepice zlate kropenata,czech,,,"Czech Gold Speckled, Bohemian Gold Speckled hen",Eggs,,Hobby,,,,"2005: As native breed widely distributed throughout Bohemia until 1850, crossed with imported breeds since 1913. Regenerated after 1945. Bred in more colour strains (gold, silver, partridge)",,,,,,, ,,,,,,,,,Single,White,Grey,Various color,"Barred, Sex-linked",Fancy,multi-coloured,"black, brown and gold",white,,,,,,2.2,1.9,Native,,,domestic,breed,indigenous breed.,,,,115.6,100.0,130.0,51.24,,,,,,,"back yard or farm yard production, extensive (non backyard)",,stationary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,No Material,atRisk,endangeredMaintained,,,,2.05,2050.0,,,,
3468,Czechia,CZE,Duck,RITO,czech,"Hybrid lines of heavier meat type RITO 41, RITO 42, ITO 43, RITO 44",,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,3.4,3.3,Locally adapted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,75.0,,,,,,,,local,No Material,notAtRisk,notAtRisk,,,,3.3499999999999996,3349.9999999999995,,,,
3469,Czechia,CZE,Duck,Strkov TTH,czech,"Hybrid lines TTH of heavy (meat) type duck (TTH12, TTH 13, TTH 14, TTH 15)",,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,4.0,3.6,Locally adapted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,2.0,,,,,,,"Fertility 92%, 150-200 eggs/year (depeding on the line TT12 - TT 15)",,,,local,No Material,notAtRisk,notAtRisk,,,,3.8,3800.0,,,,
3470,Czechia,CZE,Goat,Anglonubijska,czech,,Anglo-Nubian,Anglonubijska,"Meat, Milk",VegetationManagement,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,90.0,80.0,100.0,80.0,Exotic,y,2005,Domestic,Breed,,0,"from Belgium, Great Britain",,,,,,Hair,,,,,,,,,960.0,235.0,1789.0,280.0,0.0,0.0,0.0,0.0,0.0,4.6,1.89,7.0,0.0,0.0,4.02,2.72,6.14,,,8.0,7.0,,,,,,,,,,,,,0,,,"Milk production per lactation (280 days, breed average) 859 kg, fat 4,38% protein 3,79 %  !! indicators with zero are not monitored in our country !!",1.81,,,international,No Material,atRisk,endangered,,notAtRisk,,90.0,90000.0,,,,
3471,Czechia,CZE,Goat,Bila kratkosrsta,czech,,White Shorthaired Goat,"White Shorthaired Goat, Bila kratkosrsta koza","Meat, Milk, SkinsHides",VegetationManagement,,,,,2000: 2115 breeding females included in performance recording scheme (Association of Sheep and Goat Breeders data).,,,,,,The animals are known for their early maturity (first mated at 8 month of age) and good fertility.,This breed produces certificated bio-products. cheese,,,marker/major genes: -alpha S1 casein 0=0.016 F=0.60 E=0.08 A=0.30; -alpha S2 casein F=0.36 N=0.64; -beta casein A=0.32 C=0.68; -kappa casein A=0.5 B=0.41 C=0.003 D=0.085;(2010),,,,,,,,,,,,uni coloured: white (no other colours are allowed),,,,0/2,"about 80% are polled (during 1960-1990 only polled animals allowed for licensed reproduction); horns of average size, upright and narrow",80.0,75.0,77.0,55.0,Native,y,1928,Domestic,Breed,composite of local breeds and Saanen imported from Switzerland (1897) and Germany (1903) Imports of the white goat breed from Germany lasted until the 1980s.,,"1970-1994, <5% from British Saanen (United Kingdom)","central part of Bohemia, Obvod Pribam-Beroun",,,,,Hair,,,,,0.0,,,,,800.0,1000.0,300.0,,,,650.0,1200.0,3.5,,,,6.0,2.8,,,3.0,2.8,10.0,10.0,15.0,,15.0,12.0,18.0,365.0,,,7.0,185.0,17.5,47.0,Data source: performance recording of the Sheep and Goat Breeders' Association (2013),,Data from large commercial herds (> 50 dams) are lower by 20-40% than those from smallholder animals (1-5 dams) with individual care,"Milk per lactation (280 days, breed average) 720 kg, fat 3,11%, protein 3,00% Fertility 178%",1.75,1.0,4.0,regional,Sufficient,atRisk,endangeredMaintained,notAtRisk,,1.75,66.0,66000.0,2.9,2900.0,5.075,5075.0
3472,Czechia,CZE,Goat,Burska,czech,,Boer,Burská,GeneralCrossbreeding,,,"In the production of kids for slaughter, cross-breeding with the meat-type Boer breed is being used increasingly.",,,"Total population estimate 300; 43 breeding females included in performance recording scheme (Association of Sheep and Goat Breeders data, 2004).",,,,,,, ,,,,,,,,,,,,,,,,,,0,0,,,,,,Exotic,y,2005,domestic,breed,imported; exotic,since 1998,"from Germany, Austria, Croatia",,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,6.0,,,,,,,,,,186.0,,,0,,,"liveweight in 105 days 18,6 kg  !! indicators with zero are not monitored in our country !!",1.7,,,international,No Material,atRisk,endangered,,notAtRisk,,,,,,,
3473,Czechia,CZE,Goat,Hneda kratkosrsta,czech,,Brown Shorthair Goat,"Brown Shorthair Goat, Hneda kratkosrsta","Meat, Milk, SkinsHides",,,,,,2000: 787 breeding females included in performance recording (Association of Sheep and Goat Breeders data).,,"""souvenier""of former germ.inhabit.in mountan.border regions",,The breed is adapted to live under harsh conditions.,,Early sexual maturity is reported for this breed.,"This breed produces certificated bio-products, cheese is the most important one. ",,,marker/major genes: -alpha S1 casein 0=0.005 F=0.67 E=0.07 A=0.25; -alpha S2 casein F=0.44 N=0.56; -beta casein A=0.4 C=0.6; -kappa casein A=0.49 B=0.47 C=0.002 D=0.041; (2010),,,,,,,,,,,,"uni coloured: brown with black head and muzzle and black stripe along the back, cannon bones, ears",,,0/2,0/2,"average size, upright and narrow; >80% are polled (mass selection for polledness)",85.0,70.0,75.0,50.0,Locally adapted,y,1941,domestic,breed,composite of indigenous breed and Harz from Germany,,"up to 1972, <5% from German Brown Goat (Former Germ.Dem.Rep.): 1980-1983, >20% from German Brown Goat (Former Germ.Dem.Rep.): up to 1995, <5% from German Improved Fawn (Germany)","Obvod Kolin, border regions of Czech Republic",,,,,,,,,,,,,,,,,300.0,,,,650.0,900.0,3.6,,,,,,,,3.0,2.8,10.0,12.0,,,14.0,,,365.0,,,,,,,Data source: performance recording of the Sheep and Goat Breeders' Association (2013),,The animals are kept mainly in mountainous and marginal lands.,"Milk per lactation (280 days, breed average) 739 kg, fat 3,31%, protein 3,03% Fertility 161%",2.0,,,regional,Sufficient,atRisk,endangeredMaintained,vulnerable,,2.0,62.5,62500.0,2.9,2900.0,5.8,5800.0
3474,Czechia,CZE,Goat,Holandská zakrslá,czech,,West African Dwarf,Dutch Dwarf goat,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,"multicoloured: black pied, brown pied;",,,,,,,,,,Exotic,y,2011,domestic,breed,,,2010 from Netherlands,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,5.0,5.0,,,,,,,,,,81.0,,,0,,,!! indicators with zero are not monitored in our country !!,1.8,,,international,No Material,atRisk,critical,,notAtRisk,,,,1.25,1250.0,,
3475,Czechia,CZE,Goat,Kasmirova,czech,,Cashmere,Kasmirova,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Exotic,y,1998,domestic,breed,,since 1995,from Hungary,,,,,,,,2.0,1.9,2.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,6.0,,,,,,,,,,,,,0,,,!! indicators with zero are not monitored in our country !!,1.9,,,international,No Material,atRisk,critical,,critical,,,,,,,
3476,Czechia,CZE,Goat,Moherova,czech,,Angora,Moherova,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Exotic,y,2000,domestic,breed,,1995,"from Hungary, Denmark",,,,,,,,2.0,1.9,2.1,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,7.0,6.0,,,,,,,,,,,,,0,,,!! indicators with zero are not monitored in our country !!,1.2,,,international,No Material,atRisk,critical,,notAtRisk,,,,,,,
3477,Czechia,CZE,Goat,Sanska,czech,,Saanen,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,Exotic,y,2012,domestic,breed,,,2012 from Great Britain,,,,,,,,,,,,,,,1070.0,452.0,1746.0,280.0,0.0,0.0,0.0,0.0,0.0,2.7,1.5,7.0,0.0,0.0,3.3,2.0,6.3,,,5.0,5.0,,,,,,,,,,,,,0,,,"Milk per lactation (280 days, breed average, 1st lactation) 678 kg, fat 3,29%, protein 3,08% Fertility 180%    !! indicators with zero are not monitored in our country !!",2.0,,,international,No Material,atRisk,endangered,,notAtRisk,,,,,,,
3478,Czechia,CZE,Goat,Waliserská,Czech,,Valais Blackneck,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,2.46,0.0,0.0,0.0,0.0,2.92,0.0,0.0,3.0,3.0,5.0,5.0,,,,,,,,,,141.0,,,0,,,!! indicators with zero are not monitored in our country !!,1.0,,,regional,No Material,atRisk,critical,endangered,,,,,3.0,3000.0,,
